Match,Team_Name,Match_Result,Player_Name,Hero_Name,Lane,Kill,Death,Assist,Net Worth,Last_Hit,GPM,XPM,DMG,Item1,Time1,Item2,Time2,Item3,Time3,Item4,Time4,Item5,Time5,Item6,Time6
1,Team Secret,0,Secret.Puppey,Omniknight,Safe Lane,-,6,8,5.2,40,258,313,7.8,Boots of Speed,10.0,Magic Wand,15.0,Bracer,15.0,Bracer,18.0,Ogre Axe,29.0,Point Booster,36.0
1,Team Secret,0,Secret.YapzOr,Lion,Off Lane,1,8,7,7.9,56,265,325,8.1,Tranquil Boots,6.0,Aether Lens,17.0,Sentry Ward,18.0,Cloak,24.0,Point Booster,30.0,Ogre Axe,34.0
1,Team Secret,0,Secret.Nisha,Templar Assassin,Mid Lane,5,5,9,21.9,440,631,720,40.9,Power Treads,7.0,Desolator,13.0,Blink Dagger,18.0,Hurricane Pike,24.0,Daedalus,31.0,Monkey King Bar,36.0
1,Team Secret,0,Secret.zai,Axe,Off Lane,5,11,5,10.2,141,323,343,16.9,Stout Shield,0.0,Magic Wand,5.0,Blink Dagger,13.0,Phase Boots,16.0,Blade Mail,24.0,Shadow Blade,36.0
1,Team Secret,0,Secret.MidOne,Ember Spirit,Safe Lane,4,7,6,16.9,287,487,506,38.2,Phase Boots,9.0,Magic Wand,9.0,Drum of Endurance,16.0,Maelstrom,22.0,Octarine Core,32.0,Platemail,36.0
2,Team Secret,0,Secret.Puppey,Shadow Demon,Off Lane,4,8,9,2.5,17,212,289,9.3,Wind Lace,4.0,Smoke of Deceit,4.0,Tranquil Boots,7.0,Observer and Sentry Wards,7.0,Magic Wand,13.0,,
2,Team Secret,0,Secret.YapzOr,Lina,Off Lane,2,7,10,5.9,61,250,331,10.7,Boots of Speed,1.0,Clarity,10.0,Sentry Ward,13.0,Eul's Scepter of Divinity,21.0,Aether Lens,26.0,,
2,Team Secret,0,Secret.Nisha,Sven,Off Lane,2,2,11,11.9,187,462,508,11.2,Quelling Blade,2.0,Magic Wand,4.0,Hand of Midas,9.0,Phase Boots,11.0,Echo Sabre,16.0,Black King Bar,23.0
2,Team Secret,0,Secret.zai,Underlord,Safe Lane,6,5,5,8.0,100,339,384,17.8,Soul Ring,6.0,Wind Lace,10.0,Phase Boots,11.0,Eul's Scepter of Divinity,16.0,Force Staff,23.0,Dust of Appearance,26.0
2,Team Secret,0,Secret.MidOne,Gyrocopter,Mid Lane,5,7,6,8.2,120,382,357,17.4,Wraith Band,1.0,Wraith Band,2.0,Phase Boots,10.0,Magic Wand,12.0,Black King Bar,22.0,Javelin,26.0
3,Team Secret,0,Secret.Puppey,Spirit Breaker,Jungle,-,6,1,2.9,27,151,214,8.0,Tranquil Boots,13.0,Magic Wand,16.0,Chainmail,26.0,,,,,,
3,Team Secret,0,Secret.YapzOr,Winter Wyvern,Safe Lane,1,2,-,6.6,73,269,289,31.8,Sentry Ward,0.0,Clarity,7.0,Smoke of Deceit,7.0,Aether Lens,16.0,Spirit Vessel,27.0,Tranquil Boots,29.0
3,Team Secret,0,Secret.Nisha,Lifestealer,Safe Lane,-,3,-,12.4,220,428,455,9.4,Quelling Blade,0.0,Phase Boots,6.0,Hand of Midas,13.0,Magic Wand,18.0,Armlet of Mordiggian,18.0,Desolator,24.0
3,Team Secret,0,Secret.zai,Bristleback,Off Lane,-,6,1,9.9,187,364,353,25.0,Bottle,2.0,Bracer,3.0,Boots of Speed,5.0,Magic Wand,11.0,Pipe of Insight,15.0,Lotus Orb,25.0
3,Team Secret,0,Secret.MidOne,Ember Spirit,Mid Lane,-,3,-,10.5,223,405,449,30.7,Bottle,3.0,Magic Wand,6.0,Phase Boots,12.0,Maelstrom,17.0,Drum of Endurance,22.0,,
4,Team Secret,1,Secret.Puppey,Spirit Breaker,Safe Lane,2,10,23,7.1,52,277,515,12.7,Wind Lace,4.0,Observer and Sentry Wards,9.0,Magic Wand,12.0,Tranquil Boots,13.0,Bracer,28.0,Black King Bar,52.0
4,Team Secret,1,Secret.YapzOr,Enigma,Roaming,6,3,13,26.9,372,585,546,21.4,Guardian Greaves,17.0,Blink Dagger,22.0,Linken's Sphere,31.0,Shadow Blade,38.0,Gem of True Sight,44.0,Octarine Core,50.0
4,Team Secret,1,Secret.Nisha,Juggernaut,Off Lane,4,2,11,30.7,516,622,653,23.5,Mjollnir,25.0,Manta Style,30.0,Linken's Sphere,37.0,Skull Basher,42.0,Butterfly,46.0,Boots of Travel,51.0
4,Team Secret,1,Secret.zai,Phoenix,Safe Lane,8,7,17,23.6,154,442,533,27.0,Spirit Vessel,16.0,Tranquil Boots,18.0,Veil of Discord,27.0,Shiva's Guard,34.0,Aeon Disk,43.0,Boots of Travel,50.0
4,Team Secret,1,Secret.MidOne,Monkey King,Roaming,10,7,13,24.7,435,644,617,46.4,Echo Sabre,17.0,Maelstrom,24.0,Black King Bar,30.0,Aghanim's Scepter,36.0,Diffusal Blade,44.0,Butterfly,51.0
5,Team Secret,0,Secret.Puppey,Treant Protector,Off Lane,1,7,11,6.7,25,211,331,3.1,Observer Ward,2.0,Tranquil Boots,18.0,Magic Wand,18.0,Quelling Blade,19.0,Medallion of Courage,28.0,Blink Dagger,36.0
5,Team Secret,0,Secret.YapzOr,Skywrath Mage,Roaming,8,7,12,27.1,250,534,649,67.1,Rod of Atos,18.0,Aghanim's Scepter,34.0,Scythe of Vyse,43.0,Linken's Sphere,53.0,Boots of Travel,56.0,,
5,Team Secret,0,Secret.Nisha,Lifestealer,Safe Lane,3,5,10,33.7,632,701,743,29.5,Phase Boots,9.0,Radiance,17.0,Armlet of Mordiggian,19.0,Assault Cuirass,27.0,Abyssal Blade,36.0,Black King Bar,48.0
5,Team Secret,0,Secret.zai,Undying,Off Lane,4,8,14,14.3,190,344,408,18.6,Boots of Speed,3.0,Buckler,7.0,Aghanim's Scepter,19.0,Heaven's Halberd,30.0,Force Staff,36.0,Cheese,57.0
5,Team Secret,0,Secret.MidOne,Templar Assassin,Mid Lane,7,6,6,34.6,697,763,789,32.2,Desolator,13.0,Black King Bar,20.0,Blink Dagger,22.0,Daedalus,28.0,Scythe of Vyse,35.0,Hurricane Pike,55.0
6,Team Secret,1,Secret.Puppey,Bane,Safe Lane,3,12,39,7.8,33,274,552,19.6,Sentry Ward,2.0,Tranquil Boots,8.0,Magic Wand,13.0,Aether Lens,30.0,Ghost Scepter,53.0,Gem of True Sight,62.0
6,Team Secret,1,Secret.YapzOr,Tusk,Roaming,10,11,35,26.8,150,429,556,27.8,Phase Boots,17.0,Sentry Ward,23.0,Shadow Blade,24.0,Black King Bar,35.0,Vladmir's Offering,49.0,Assault Cuirass,55.0
6,Team Secret,1,Secret.Nisha,Arc Warden,Off Lane,16,10,33,52.3,833,957,767,103.0,Mjollnir,22.0,Hurricane Pike,26.0,Butterfly,35.0,Scythe of Vyse,46.0,Black King Bar,49.0,Nullifier,64.0
6,Team Secret,1,Secret.zai,Batrider,Mid Lane,13,5,37,28.9,374,558,686,39.4,Boots of Travel,9.0,Black King Bar,24.0,Blink Dagger,27.0,Aether Lens,31.0,Force Staff,37.0,Refresher Orb,66.0
6,Team Secret,1,Secret.MidOne,Ember Spirit,Safe Lane,17,4,28,44.5,764,837,719,84.2,Black King Bar,24.0,Octarine Core,38.0,Manta Style,45.0,Mjollnir,48.0,Boots of Travel,50.0,Bloodthorn,62.0
7,Team Secret,1,Secret.Puppey,Spirit Breaker,Roaming,4,4,23,5.3,46,305,409,5.4,Observer and Sentry Wards,1.0,Tranquil Boots,9.0,Magic Wand,9.0,Bracer,15.0,Bracer,20.0,Ogre Axe,24.0
7,Team Secret,1,Secret.YapzOr,Witch Doctor,Safe Lane,5,2,14,9.0,63,352,540,9.0,Smoke of Deceit,9.0,Magic Wand,11.0,Tranquil Boots,11.0,Spirit Vessel,19.0,Point Booster,22.0,Ogre Axe,23.0
7,Team Secret,1,Secret.Nisha,Juggernaut,Safe Lane,12,1,8,19.1,281,707,754,15.6,Phase Boots,3.0,Drum of Endurance,8.0,Manta Style,18.0,Mjollnir,22.0,Skull Basher,25.0,Aegis of the Immortal,26.0
7,Team Secret,1,Secret.zai,Sand King,Off Lane,3,9,18,7.8,71,335,472,11.1,Tranquil Boots,8.0,Wind Lace,10.0,Magic Wand,11.0,Blink Dagger,16.0,Veil of Discord,20.0,Cloak,25.0
7,Team Secret,1,Secret.MidOne,Ember Spirit,Mid Lane,10,1,11,14.8,207,571,725,30.3,Bottle,2.0,Magic Wand,5.0,Phase Boots,9.0,Drum of Endurance,11.0,Maelstrom,17.0,Black King Bar,23.0
8,Team Secret,1,Secret.Puppey,Crystal Maiden,Safe Lane,6,0,10,6.9,59,357,437,11.9,Observer and Sentry Wards,5.0,Bracer,9.0,Bracer,10.0,Tranquil Boots,13.0,Magic Wand,14.0,Glimmer Cape,21.0
8,Team Secret,1,Secret.YapzOr,Mars,Off Lane,3,1,15,8.4,86,367,485,8.5,Tranquil Boots,8.0,Magic Wand,10.0,Spirit Vessel,17.0,Arcane Boots,22.0,Buckler,22.0,,
8,Team Secret,1,Secret.Nisha,Sniper,Mid Lane,5,1,12,15.5,256,596,657,22.1,Wraith Band,1.0,Wraith Band,2.0,Power Treads,7.0,Maelstrom,12.0,Hurricane Pike,19.0,Black King Bar,25.0
8,Team Secret,1,Secret.zai,Batrider,Off Lane,2,3,10,9.9,158,415,483,11.0,Bottle,4.0,Boots of Travel,9.0,Wind Lace,10.0,Blink Dagger,15.0,Force Staff,20.0,Void Stone,25.0
8,Team Secret,1,Secret.MidOne,Ember Spirit,Safe Lane,6,2,13,12.8,186,522,544,25.7,Quelling Blade,1.0,Phase Boots,7.0,Drum of Endurance,10.0,Magic Wand,10.0,Maelstrom,15.0,Octarine Core,25.0
9,Team Secret,1,Secret.Puppey,Spirit Breaker,Safe Lane,3,10,20,7.1,55,280,437,10.2,Magic Wand,11.0,Tranquil Boots,13.0,Observer and Sentry Wards,16.0,Bracer,20.0,Bracer,24.0,Shadow Blade,38.0
9,Team Secret,1,Secret.YapzOr,Skywrath Mage,Off Lane,5,6,15,16.7,208,462,638,36.8,Tranquil Boots,5.0,Null Talisman,10.0,Aghanim's Scepter,27.0,Lotus Orb,37.0,Scythe of Vyse,47.0,Gem of True Sight,51.0
9,Team Secret,1,Secret.Nisha,Morphling,Mid Lane,9,2,10,32.4,533,701,581,47.7,Manta Style,18.0,Eye of Skadi,27.0,Butterfly,34.0,Black King Bar,39.0,Satanic,48.0,Maelstrom,51.0
9,Team Secret,1,Secret.zai,Bristleback,Off Lane,7,7,15,22.9,336,555,567,28.9,Bottle,2.0,Lotus Orb,18.0,Crimson Guard,21.0,Guardian Greaves,29.0,Aghanim's Scepter,38.0,Vitality Booster,47.0
9,Team Secret,1,Secret.MidOne,Death Prophet,Safe Lane,3,7,13,19.5,324,486,556,30.4,Magic Wand,4.0,Phase Boots,9.0,Aghanim's Scepter,21.0,Eul's Scepter of Divinity,27.0,Black King Bar,35.0,Shiva's Guard,46.0
10,Team Secret,1,Secret.Puppey,Shadow Shaman,Safe Lane,5,6,16,9.1,54,334,378,10.6,Magic Wand,6.0,Tranquil Boots,14.0,Ghost Scepter,19.0,Bracer,20.0,Glimmer Cape,29.0,Aether Lens,35.0
10,Team Secret,1,Secret.YapzOr,Nyx Assassin,Jungle,2,3,20,10.6,18,305,483,12.1,Magic Wand,10.0,Tranquil Boots,14.0,Spirit Vessel,23.0,Aeon Disk,33.0,Point Booster,35.0,,
10,Team Secret,1,Secret.Nisha,Naga Siren,Jungle,5,2,11,29.3,596,808,628,19.5,Power Treads,9.0,Manta Style,15.0,Aegis of the Immortal,23.0,Butterfly,27.0,Heart of Tarrasque,31.0,Bloodthorn,36.0
10,Team Secret,1,Secret.zai,Dark Seer,Off Lane,6,4,19,16.8,237,485,557,16.2,Soul Ring,1.0,Magic Wand,13.0,Guardian Greaves,19.0,Pipe of Insight,25.0,Blink Dagger,31.0,Lotus Orb,36.0
10,Team Secret,1,Secret.MidOne,Monkey King,Safe Lane,11,4,14,20.2,238,562,637,29.1,Phase Boots,7.0,Echo Sabre,16.0,Maelstrom,21.0,Black King Bar,28.0,Desolator,33.0,,
11,Team Secret,0,Secret.Puppey,Abaddon,Off Lane,-,8,5,1.8,24,155,187,3.1,Sentry Ward,8.0,Magic Wand,14.0,Smoke of Deceit,18.0,Tranquil Boots,27.0,,,,
11,Team Secret,0,Secret.YapzOr,Io,Safe Lane,-,8,5,4.4,39,170,262,3.7,Magic Stick,0.0,Bottle,5.0,Urn of Shadows,13.0,Cloak,15.0,Glimmer Cape,22.0,,
11,Team Secret,0,Secret.Nisha,Phantom Assassin,Off Lane,3,5,1,14.7,291,518,632,8.9,Wraith Band,3.0,Wraith Band,4.0,Power Treads,8.0,Magic Wand,9.0,Battle Fury,17.0,Black King Bar,24.0
11,Team Secret,0,Secret.zai,Puck,Safe Lane,3,5,2,9.8,118,357,466,8.0,Magic Stick,1.0,Null Talisman,7.0,Blink Dagger,13.0,Boots of Travel,17.0,Veil of Discord,26.0,Wind Lace,26.0
11,Team Secret,0,Secret.MidOne,Templar Assassin,Mid Lane,-,7,5,12.7,259,490,497,10.7,Wraith Band,1.0,Wraith Band,3.0,Power Treads,9.0,Desolator,16.0,Black King Bar,23.0,,
12,Team Secret,1,Secret.Puppey,Shadow Demon,Jungle,2,9,18,6.6,38,285,434,5.4,Observer and Sentry Wards,0.0,Wind Lace,10.0,Tranquil Boots,14.0,Bracer,16.0,Medallion of Courage,26.0,Force Staff,40.0
12,Team Secret,1,Secret.YapzOr,Enigma,Roaming,2,3,21,20.9,250,535,554,13.4,Guardian Greaves,17.0,Blink Dagger,22.0,Black King Bar,30.0,Shadow Blade,37.0,Perseverance,40.0,,
12,Team Secret,1,Secret.Nisha,Anti-Mage,Mid Lane,7,1,8,32.4,623,836,818,17.0,Battle Fury,16.0,Manta Style,22.0,Eye of Skadi,28.0,Assault Cuirass,33.0,Butterfly,37.0,Skull Basher,39.0
12,Team Secret,1,Secret.zai,Sand King,Safe Lane,4,3,17,17.4,189,445,663,14.3,Veil of Discord,9.0,Blink Dagger,15.0,Boots of Travel,20.0,Force Staff,24.0,Lotus Orb,35.0,,
12,Team Secret,1,Secret.MidOne,Death Prophet,Off Lane,13,2,14,22.6,232,550,636,27.1,Phase Boots,7.0,Aghanim's Scepter,17.0,Eul's Scepter of Divinity,21.0,Black King Bar,31.0,Shiva's Guard,36.0,,
13,Team Secret,0,Secret.Puppey,Undying,Safe Lane,-,9,10,3.0,25,196,273,5.6,Stout Shield,0.0,Magic Stick,1.0,Observer and Sentry Wards,8.0,Boots of Speed,13.0,Chainmail,16.0,Medallion of Courage,19.0
13,Team Secret,0,Secret.YapzOr,Io,Safe Lane,2,4,7,6.2,31,190,404,6.0,Magic Stick,1.0,Bottle,5.0,Urn of Shadows,9.0,Glimmer Cape,17.0,Vitality Booster,26.0,Energy Booster,32.0
13,Team Secret,0,Secret.Nisha,Gyrocopter,Safe Lane,5,5,6,19.1,360,562,437,27.3,Wraith Band,5.0,Phase Boots,9.0,Drum of Endurance,13.0,Yasha,16.0,Black King Bar,23.0,Mjollnir,34.0
13,Team Secret,0,Secret.zai,Mars,Off Lane,2,4,7,10.0,170,337,411,14.6,Morbid Mask,3.0,Soul Ring,5.0,Magic Stick,6.0,Phase Boots,10.0,Blink Dagger,17.0,Black King Bar,33.0
13,Team Secret,0,Secret.MidOne,Ember Spirit,Mid Lane,2,7,4,14.2,249,447,553,21.4,Bottle,4.0,Magic Wand,6.0,Phase Boots,10.0,Maelstrom,16.0,Eul's Scepter of Divinity,22.0,Desolator,31.0
14,Team Secret,1,Secret.Puppey,Undying,Off Lane,4,10,31,8.1,107,319,439,7.4,Observer and Sentry Wards,7.0,Phase Boots,11.0,Magic Wand,15.0,Smoke of Deceit,17.0,Urn of Shadows,23.0,Crimson Guard,33.0
14,Team Secret,1,Secret.YapzOr,Rubick,Roaming,5,4,20,18.5,146,404,562,14.9,Magic Wand,10.0,Blink Dagger,16.0,Glimmer Cape,22.0,Aghanim's Scepter,32.0,Lotus Orb,45.0,Boots of Travel,49.0
14,Team Secret,1,Secret.Nisha,Sven,Off Lane,16,3,20,27.9,508,683,838,49.2,Phase Boots,9.0,Blink Dagger,16.0,Black King Bar,22.0,Assault Cuirass,27.0,Silver Edge,33.0,Satanic,46.0
14,Team Secret,1,Secret.zai,Leshrac,Off Lane,7,6,24,24.1,346,582,642,40.8,Eul's Scepter of Divinity,12.0,Boots of Travel,17.0,Black King Bar,26.0,Kaya,29.0,Octarine Core,36.0,Linken's Sphere,47.0
14,Team Secret,1,Secret.MidOne,Storm Spirit,Mid Lane,14,4,19,21.1,317,512,718,37.1,Bottle,5.0,Power Treads,12.0,Kaya,17.0,Orchid Malevolence,23.0,Black King Bar,29.0,Bloodstone,40.0
15,Team Secret,1,Secret.Puppey,Warlock,Safe Lane,6,4,30,8.1,73,316,533,24.3,Sentry Ward,0.0,Boots of Speed,2.0,Magic Wand,10.0,Bracer,11.0,Force Staff,27.0,,
15,Team Secret,1,Secret.YapzOr,Earthshaker,Mid Lane,8,3,25,10.5,49,308,539,16.4,Soul Ring,5.0,Tranquil Boots,8.0,Blink Dagger,15.0,Observer Ward,27.0,Lotus Orb,39.0,Ogre Axe,40.0
15,Team Secret,1,Secret.Nisha,Spectre,Safe Lane,10,3,26,23.5,386,638,743,39.9,Power Treads,7.0,Radiance,19.0,Manta Style,26.0,Diffusal Blade,30.0,Blade Mail,32.0,Heart of Tarrasque,40.0
15,Team Secret,1,Secret.zai,Batrider,Off Lane,12,3,26,16.7,181,446,726,20.8,Bottle,5.0,Boots of Travel,10.0,Eul's Scepter of Divinity,18.0,Blink Dagger,24.0,Black King Bar,34.0,Aghanim's Scepter,41.0
15,Team Secret,1,Secret.MidOne,Shadow Fiend,Mid Lane,8,2,23,20.0,365,599,689,25.6,Eul's Scepter of Divinity,14.0,Blink Dagger,18.0,Black King Bar,24.0,Boots of Travel,27.0,Scythe of Vyse,33.0,,
16,Team Secret,1,Secret.Puppey,Chen,Safe Lane,5,0,13,9.1,71,342,411,4.1,Magic Stick,2.0,Observer Ward,5.0,Medallion of Courage,8.0,Guardian Greaves,27.0,Vitality Booster,32.0,,
16,Team Secret,1,Secret.YapzOr,Earth Spirit,Roaming,3,1,17,9.3,37,312,425,8.5,Magic Stick,1.0,Spirit Vessel,19.0,Tranquil Boots,21.0,Sentry Ward,27.0,Lotus Orb,32.0,,
16,Team Secret,1,Secret.Nisha,Sven,Safe Lane,10,0,13,23.3,346,705,714,16.4,Power Treads,4.0,Echo Sabre,11.0,Sange and Yasha,16.0,Blink Dagger,20.0,Satanic,25.0,Black King Bar,32.0
16,Team Secret,1,Secret.zai,Venomancer,Off Lane,2,2,15,12.7,169,453,504,22.2,Wind Lace,4.0,Magic Wand,11.0,Aether Lens,15.0,Blink Dagger,19.0,Aghanim's Scepter,27.0,Boots of Travel,32.0
16,Team Secret,1,Secret.MidOne,Leshrac,Mid Lane,11,1,8,19.9,326,682,693,17.3,Bottle,4.0,Eul's Scepter of Divinity,12.0,Yasha and Kaya,21.0,Boots of Travel,23.0,Aegis of the Immortal,29.0,Octarine Core,29.0
17,Team Secret,0,Secret.Puppey,Ogre Magi,Off Lane,2,5,17,5.2,18,256,318,12.4,Boots of Speed,3.0,Sentry Ward,5.0,Urn of Shadows,11.0,Magic Wand,15.0,Medallion of Courage,24.0,Ring of Basilius,31.0
17,Team Secret,0,Secret.YapzOr,Rubick,Mid Lane,6,3,13,9.7,91,331,441,19.9,Magic Wand,4.0,Arcane Boots,8.0,Force Staff,15.0,Blink Dagger,21.0,Point Booster,24.0,Ogre Axe,32.0
17,Team Secret,0,Secret.Nisha,Medusa,Mid Lane,4,4,10,17.9,383,569,603,16.2,Wraith Band,1.0,Magic Wand,5.0,Power Treads,8.0,Manta Style,17.0,Eye of Skadi,22.0,Eaglesong,27.0
17,Team Secret,0,Secret.zai,Doom,Safe Lane,8,5,12,14.3,130,474,462,28.4,Phase Boots,6.0,Drum of Endurance,10.0,Magic Wand,10.0,Black King Bar,18.0,Blink Dagger,22.0,Platemail,24.0
17,Team Secret,0,Secret.MidOne,Storm Spirit,Off Lane,9,9,12,11.9,183,432,439,19.9,Magic Wand,2.0,Null Talisman,5.0,Bottle,7.0,Power Treads,12.0,Kaya,15.0,Bloodstone,26.0
18,Team Secret,1,Secret.Puppey,Abaddon,Roaming,3,8,7,3.9,15,252,349,5.8,Sentry Ward,5.0,Magic Wand,15.0,Tranquil Boots,18.0,Urn of Shadows,24.0,,,,
18,Team Secret,1,Secret.YapzOr,Enigma,Roaming,6,1,9,12.0,147,469,485,5.9,Smoke of Deceit,5.0,Guardian Greaves,15.0,Black King Bar,24.0,,,,,,
18,Team Secret,1,Secret.Nisha,Anti-Mage,Safe Lane,5,2,8,17.2,290,641,662,12.8,Power Treads,6.0,Magic Wand,7.0,Battle Fury,15.0,Manta Style,22.0,Eye of Skadi,26.0,,
18,Team Secret,1,Secret.zai,Beastmaster,Off Lane,1,1,13,10.2,123,384,527,5.5,Quelling Blade,0.0,Vladmir's Offering,9.0,Phase Boots,16.0,Wind Lace,16.0,Solar Crest,22.0,Point Booster,25.0
18,Team Secret,1,Secret.MidOne,Ember Spirit,Mid Lane,3,4,11,10.1,133,411,548,17.8,Bottle,5.0,Magic Wand,8.0,Phase Boots,10.0,Wraith Band,11.0,Maelstrom,20.0,Aghanim's Scepter,27.0
19,Team Secret,1,Secret.Puppey,Warlock,Safe Lane,6,2,11,5.8,48,326,421,14.4,Sentry Ward,0.0,Bracer,7.0,Medallion of Courage,16.0,Magic Wand,20.0,Glimmer Cape,28.0,Arcane Boots,30.0
19,Team Secret,1,Secret.Nisha,Sven,Safe Lane,7,1,9,17.6,275,591,579,15.4,Power Treads,5.0,Echo Sabre,11.0,Magic Wand,13.0,Black King Bar,18.0,Blink Dagger,21.0,Assault Cuirass,29.0
19,Team Secret,1,Secret.YapzOr,Earthshaker,Roaming,2,2,13,7.9,64,319,508,8.2,Soul Ring,5.0,Tranquil Boots,9.0,Blink Dagger,15.0,Perseverance,23.0,Platemail,28.0,,
19,Team Secret,1,Secret.zai,Batrider,Roaming,4,2,11,11.1,132,397,540,13.4,Bottle,3.0,Wind Lace,5.0,Drum of Endurance,8.0,Boots of Travel,15.0,Blink Dagger,22.0,Force Staff,26.0
19,Team Secret,1,Secret.MidOne,Medusa,Mid Lane,4,0,11,22.7,410,758,819,15.2,Wraith Band,1.0,Phase Boots,6.0,Magic Wand,8.0,Manta Style,15.0,Eye of Skadi,21.0,Butterfly,27.0
20,Team Secret,1,Secret.Puppey,Ogre Magi,Safe Lane,1,2,13,6.6,39,322,395,7.8,Sentry Ward,1.0,Boots of Speed,9.0,Quelling Blade,9.0,Magic Wand,21.0,Solar Crest,29.0,,
20,Team Secret,1,Secret.YapzOr,Rubick,Mid Lane,5,1,14,11.2,71,386,544,12.2,Magic Wand,10.0,Quelling Blade,11.0,Blink Dagger,17.0,Force Staff,22.0,Lotus Orb,28.0,,
20,Team Secret,1,Secret.Nisha,Lifestealer,Safe Lane,6,2,10,19.3,225,617,597,18.7,Phase Boots,5.0,Hand of Midas,10.0,Armlet of Mordiggian,14.0,Assault Cuirass,23.0,Skull Basher,26.0,,
20,Team Secret,1,Secret.zai,Winter Wyvern,Off Lane,-,1,10,11.3,111,395,439,9.1,Boots of Speed,3.0,Bracer,13.0,Magic Wand,18.0,Spirit Vessel,20.0,Aether Lens,24.0,Force Staff,26.0
20,Team Secret,1,Secret.MidOne,Templar Assassin,Mid Lane,11,2,9,20.0,271,702,677,27.8,Power Treads,7.0,Desolator,13.0,Aegis of the Immortal,14.0,Force Staff,16.0,Black King Bar,22.0,Daedalus,29.0
21,Team Secret,0,Secret.Puppey,Grimstroke,Safe Lane,-,7,1,3.9,61,208,226,2.9,Observer and Sentry Wards,2.0,Boots of Speed,8.0,Quelling Blade,12.0,Magic Wand,15.0,Smoke of Deceit,18.0,Ghost Scepter,25.0
21,Team Secret,0,Secret.Nisha,Morphling,Mid Lane,2,2,-,17.1,348,541,582,8.5,Wraith Band,1.0,Wraith Band,3.0,Power Treads,9.0,Linken's Sphere,19.0,Ethereal Blade,27.0,Black King Bar,31.0
21,Team Secret,0,Secret.YapzOr,Earth Spirit,Off Lane,-,4,2,7.0,95,235,369,7.2,Urn of Shadows,10.0,Magic Wand,10.0,Quelling Blade,13.0,Tranquil Boots,13.0,Black King Bar,29.0,Sentry Ward,31.0
21,Team Secret,0,Secret.zai,Omniknight,Off Lane,-,3,2,12.1,173,379,431,4.2,Quelling Blade,1.0,Soul Ring,6.0,Magic Wand,12.0,Guardian Greaves,19.0,Aghanim's Scepter,29.0,,
21,Team Secret,0,Secret.MidOne,Troll Warlord,Safe Lane,-,5,-,16.3,371,526,540,5.4,Wraith Band,5.0,Wraith Band,5.0,Phase Boots,9.0,Battle Fury,18.0,Black King Bar,24.0,Skull Basher,29.0
22,Team Secret,1,Secret.Puppey,Shadow Shaman,Off Lane,4,4,17,9.4,84,353,497,10.9,Sentry Ward,3.0,Magic Wand,13.0,Tranquil Boots,13.0,Ghost Scepter,18.0,Force Staff,29.0,Aether Lens,37.0
22,Team Secret,1,Secret.YapzOr,Enigma,Roaming,4,3,16,18.4,271,536,546,17.0,Guardian Greaves,15.0,Sentry Ward,17.0,Blink Dagger,19.0,Linken's Sphere,31.0,Soul Booster,37.0,,
22,Team Secret,1,Secret.Nisha,Spectre,Off Lane,8,0,15,25.3,427,712,820,36.6,Soul Ring,5.0,Power Treads,9.0,Radiance,19.0,Manta Style,25.0,Butterfly,31.0,Eye of Skadi,36.0
22,Team Secret,1,Secret.zai,Tidehunter,Safe Lane,3,4,17,12.6,144,368,570,13.8,Vladmir's Offering,12.0,Magic Wand,12.0,Medallion of Courage,18.0,Arcane Boots,22.0,Blink Dagger,29.0,Heaven's Halberd,34.0
22,Team Secret,1,Secret.MidOne,Ember Spirit,Mid Lane,7,4,9,15.7,215,463,565,24.0,Phase Boots,11.0,Magic Wand,12.0,Maelstrom,18.0,Desolator,26.0,Eul's Scepter of Divinity,31.0,,
23,Team Secret,1,Secret.Puppey,Ogre Magi,Safe Lane,4,3,17,7.1,31,373,456,9.2,Sentry Ward,0.0,Tranquil Boots,13.0,Bracer,15.0,Magic Wand,19.0,Aether Lens,23.0,Veil of Discord,28.0
23,Team Secret,1,Secret.YapzOr,Grimstroke,Jungle,10,3,21,11.5,53,475,514,16.5,Arcane Boots,4.0,Magic Stick,10.0,Spirit Vessel,15.0,Blink Dagger,21.0,Ultimate Orb,25.0,Void Stone,26.0
23,Team Secret,1,Secret.Nisha,Morphling,Safe Lane,8,0,14,18.8,236,699,693,25.2,Wraith Band,2.0,Magic Wand,8.0,Power Treads,9.0,Linken's Sphere,15.0,Ethereal Blade,22.0,Satanic,26.0
23,Team Secret,1,Secret.zai,Mars,Off Lane,7,4,16,11.9,93,456,540,14.9,Magic Wand,8.0,Phase Boots,10.0,Soul Ring,14.0,Blink Dagger,17.0,Crimson Guard,24.0,Vladmir's Offering,26.0
23,Team Secret,1,Secret.MidOne,Lone Druid,Mid Lane,2,1,14,18.5,222,664,681,10.5,Boots of Speed,3.0,,,,,,,,,,
24,Team Secret,1,Secret.Puppey,Shadow Shaman,Safe Lane,2,6,18,7.9,103,346,531,11.2,Arcane Boots,12.0,Magic Wand,13.0,Bracer,14.0,Bracer,15.0,Ghost Scepter,19.0,Force Staff,31.0
24,Team Secret,1,Secret.Nisha,Terrorblade,Jungle,6,2,14,20.5,355,644,691,21.2,Wraith Band,2.0,Wraith Band,7.0,Power Treads,11.0,Manta Style,18.0,Butterfly,26.0,Black King Bar,30.0
