Match,Team_Name,Match_Result,Player_Name,Hero_Name,Lane,Kill,Death,Assist,Net Worth,Last_Hit,GPM,XPM,DMG,Item1,Time1,Item2,Time2,Item3,Time3,Item4,Time4,Item5,Time5,Item6,Time6
33,Evil Geniuses,1,EG.Arteezy,Sven,Safe Lane,6,1,8,22.5,349,759,818,14.2,Power Treads,5.0,Hand of Midas,11.0,Echo Sabre,15.0,Blink Dagger,17.0,Black King Bar,21.0,Assault Cuirass,27.0
33,Evil Geniuses,1,EG.Suma1L,Queen of Pain,Mid Lane,16,1,4,17.6,235,648,699,26.1,Null Talisman,1.0,Bottle,5.0,Power Treads,8.0,Linken's Sphere,17.0,Mjollnir,25.0,Force Staff,29.0
33,Evil Geniuses,1,EG.Fly,Shadow Demon,Safe Lane,2,1,11,3.8,33,270,285,5.0,Wind Lace,5.0,Tranquil Boots,17.0,Dust of Appearance,21.0,Magic Wand,23.0,,,,
33,Evil Geniuses,1,EG.s4,Dark Seer,Off Lane,1,3,17,12.2,178,448,433,8.5,Quelling Blade,1.0,Soul Ring,4.0,Magic Wand,10.0,Guardian Greaves,20.0,Pipe of Insight,27.0,,
33,Evil Geniuses,1,EG.Cr1t-,Nyx Assassin,Off Lane,1,4,15,6.7,22,294,398,8.5,Clarity,7.0,Urn of Shadows,15.0,Tranquil Boots,15.0,Magic Wand,19.0,Eul's Scepter of Divinity,27.0,,
34,Evil Geniuses,0,EG.Arteezy,Anti-Mage,Safe Lane,8,2,2,23.5,464,741,855,11.7,Wraith Band,5.0,Power Treads,9.0,Battle Fury,16.0,Manta Style,20.0,Eye of Skadi,24.0,Butterfly,32.0
34,Evil Geniuses,0,EG.Suma1L,Monkey King,Mid Lane,5,4,13,14.5,237,490,561,15.2,Phase Boots,9.0,Magic Wand,10.0,Echo Sabre,15.0,Black King Bar,24.0,Maelstrom,28.0,Hyperstone,32.0
34,Evil Geniuses,0,EG.Fly,Silencer,Safe Lane,2,9,12,2.8,37,241,286,9.9,Observer and Sentry Wards,0.0,Magic Stick,6.0,Dust of Appearance,12.0,Tranquil Boots,28.0,Ring of Regen,28.0,Healing Salve,32.0
34,Evil Geniuses,0,EG.s4,Doom,Off Lane,11,8,10,10.1,132,397,368,18.8,Phase Boots,5.0,Magic Wand,7.0,Drum of Endurance,11.0,Blink Dagger,14.0,Black King Bar,26.0,,
34,Evil Geniuses,0,EG.Cr1t-,Rubick,Off Lane,4,9,13,6.8,92,288,384,18.7,Aether Lens,12.0,Wind Lace,12.0,Tranquil Boots,16.0,Magic Wand,19.0,Ghost Scepter,24.0,,
35,Evil Geniuses,1,EG.Arteezy,Arc Warden,Mid Lane,12,2,6,21.3,287,831,742,29.9,Wraith Band,1.0,Hand of Midas,8.0,Mjollnir,17.0,Boots of Travel,19.0,Hurricane Pike,23.0,Scythe of Vyse,27.0
35,Evil Geniuses,1,EG.Suma1L,Spectre,Safe Lane,2,3,12,14.1,285,566,713,17.3,Magic Wand,2.0,Soul Ring,7.0,Power Treads,10.0,Radiance,19.0,Blade Mail,23.0,Yasha,26.0
35,Evil Geniuses,1,EG.Fly,Silencer,Safe Lane,1,6,11,3.5,40,250,264,7.4,Observer and Sentry Wards,5.0,Smoke of Deceit,5.0,Magic Wand,6.0,Ring of Regen,11.0,Tranquil Boots,13.0,,
35,Evil Geniuses,1,EG.s4,Legion Commander,Off Lane,3,2,7,8.4,77,321,502,8.1,Quelling Blade,2.0,Magic Stick,4.0,Bracer,6.0,Phase Boots,8.0,Blink Dagger,17.0,Blade Mail,24.0
35,Evil Geniuses,1,EG.Cr1t-,Doom,Mid Lane,2,4,11,7.7,42,308,341,7.5,Phase Boots,6.0,Magic Wand,13.0,Blink Dagger,20.0,Spirit Vessel,27.0,,,,
